date,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,new_intensive_care_patients,cumulative_intensive_care_patients,current_intensive_care_patients,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,income_support,facial_coverings,vaccination_policy,stringency_index,new_confirmed,new_deceased,new_recovered,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_tested,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered
2021-01-21,1759.0,305937.0,25699.0,253.0,47768.0,2866.0,2.0,2.0,2.0,4.0,0.0,2.0,0.0,2.0,4.0,2.0,63.89,22848.0,346.0,214538.0,339876.0,2985223.0,50352.0,30198081.0,41886607.0,158403.0,973605.0,956.0,7340.0,159359.0,980945.0
2021-01-22,1861.0,307798.0,25872.0,270.0,48038.0,2902.0,2.0,2.0,2.0,4.0,0.0,2.0,0.0,2.0,4.0,2.0,63.89,23292.0,319.0,215822.0,382297.0,3008515.0,50671.0,30413903.0,42268904.0,121065.0,1094670.0,841.0,8181.0,121906.0,1102851.0
2021-01-23,1174.0,308972.0,25864.0,172.0,48210.0,2886.0,2.0,2.0,2.0,4.0,0.0,2.0,0.0,2.0,4.0,2.0,63.89,23924.0,230.0,216725.0,201342.0,3032439.0,50901.0,30630628.0,42470246.0,38480.0,1133150.0,208.0,8389.0,38688.0,1141539.0
2021-01-24,918.0,309890.0,26357.0,175.0,48385.0,2955.0,2.0,2.0,2.0,4.0,0.0,2.0,0.0,2.0,4.0,2.0,63.89,18436.0,172.0,216965.0,42546.0,3050875.0,51073.0,30847593.0,42512792.0,9745.0,1142895.0,165.0,8554.0,9910.0,1151449.0
2021-01-25,1773.0,311663.0,26888.0,299.0,48684.0,3031.0,2.0,2.0,2.0,4.0,0.0,2.0,0.0,2.0,4.0,2.0,63.89,4240.0,445.0,217708.0,431063.0,3055115.0,51518.0,31065301.0,42943855.0,78238.0,1221133.0,1701.0,10255.0,79939.0,1231388.0
2021-01-26,2006.0,313669.0,27005.0,343.0,49027.0,3071.0,2.0,2.0,2.0,4.0,0.0,2.0,0.0,2.0,4.0,2.0,63.89,22086.0,350.0,219152.0,359201.0,3077201.0,51868.0,31284453.0,43303056.0,100377.0,1321510.0,3971.0,14226.0,104348.0,1335736.0
2021-01-27,1933.0,315602.0,27131.0,318.0,49345.0,3097.0,2.0,2.0,2.0,4.0,0.0,2.0,0.0,2.0,4.0,2.0,63.89,26916.0,350.0,220570.0,339921.0,3104117.0,52218.0,31505023.0,43642977.0,107246.0,1428756.0,6861.0,21087.0,114107.0,1449843.0
2021-01-28,1726.0,317328.0,27128.0,272.0,49617.0,3101.0,2.0,2.0,2.0,4.0,0.0,2.0,0.0,2.0,4.0,2.0,63.89,23770.0,344.0,221903.0,384735.0,3127887.0,52562.0,31726926.0,44027712.0,124356.0,1553112.0,16427.0,37514.0,140783.0,1590626.0
2021-01-29,1823.0,319151.0,27270.0,271.0,49888.0,3120.0,2.0,2.0,2.0,4.0,0.0,2.0,0.0,2.0,4.0,2.0,63.89,22858.0,355.0,223174.0,414021.0,3150745.0,52917.0,31950100.0,44441733.0,92184.0,1645296.0,18735.0,56249.0,110919.0,1701545.0
2021-01-30,1176.0,320327.0,27242.0,192.0,50080.0,3103.0,2.0,2.0,2.0,4.0,0.0,2.0,0.0,2.0,4.0,2.0,63.89,24392.0,242.0,224120.0,216809.0,3175137.0,53159.0,32174220.0,44658542.0,29122.0,1674418.0,4533.0,60782.0,33655.0,1735200.0
2021-01-31,816.0,321143.0,27573.0,148.0,50228.0,3148.0,2.0,2.0,2.0,4.0,0.0,2.0,0.0,2.0,4.0,2.0,63.89,19235.0,195.0,224406.0,44476.0,3194372.0,53354.0,32398626.0,44703018.0,5234.0,1679652.0,1856.0,62638.0,7090.0,1742290.0
2021-02-01,1750.0,322893.0,27874.0,318.0,50546.0,3218.0,2.0,2.0,2.0,4.0,0.0,2.0,0.0,2.0,4.0,2.0,63.89,4347.0,455.0,225319.0,441380.0,3198719.0,53809.0,32623945.0,45144398.0,53131.0,1732783.0,22301.0,84939.0,75432.0,1817722.0
2021-02-02,2189.0,325082.0,28029.0,369.0,50915.0,3270.0,2.0,2.0,2.0,4.0,0.0,2.0,0.0,2.0,4.0,2.0,63.89,23337.0,404.0,226896.0,384641.0,3222056.0,54213.0,32850841.0,45529039.0,72310.0,1805093.0,37327.0,122266.0,109637.0,1927359.0
2021-02-03,1882.0,326964.0,27953.0,275.0,51190.0,3267.0,2.0,2.0,2.0,4.0,0.0,2.0,0.0,2.0,4.0,2.0,63.89,26362.0,357.0,228472.0,350023.0,3248418.0,54570.0,33079313.0,45879062.0,72305.0,1877398.0,39477.0,161743.0,111782.0,2039141.0
2021-02-04,1752.0,328716.0,27766.0,275.0,51465.0,3240.0,2.0,2.0,2.0,4.0,0.0,2.0,0.0,2.0,4.0,2.0,63.89,23448.0,357.0,229975.0,378658.0,3271866.0,54927.0,33309288.0,46257720.0,82076.0,1959474.0,53787.0,215530.0,135863.0,2175004.0
2021-02-05,1719.0,330435.0,27572.0,255.0,51720.0,3235.0,2.0,2.0,2.0,4.0,0.0,2.0,0.0,2.0,4.0,2.0,63.89,22139.0,293.0,231549.0,422266.0,3294005.0,78577.0,33540837.0,46679986.0,68233.0,2027707.0,47212.0,262742.0,115445.0,2290449.0
2021-02-06,1126.0,331561.0,27327.0,168.0,51888.0,3215.0,2.0,2.0,2.0,4.0,0.0,2.0,0.0,2.0,4.0,2.0,63.89,20586.0,191.0,232693.0,222052.0,3314591.0,78768.0,33773530.0,46902038.0,23030.0,2050737.0,11306.0,274048.0,34336.0,2324785.0
2021-02-07,790.0,332351.0,27652.0,160.0,52048.0,3262.0,2.0,2.0,2.0,4.0,0.0,2.0,0.0,2.0,4.0,2.0,63.89,19715.0,171.0,232977.0,43371.0,3334306.0,78939.0,34006507.0,46945409.0,5191.0,2055928.0,5721.0,279769.0,10912.0,2335697.0
2021-02-08,1893.0,334244.0,27995.0,356.0,52404.0,3353.0,1.0,2.0,2.0,4.0,0.0,2.0,0.0,2.0,4.0,3.0,60.19,4317.0,458.0,233993.0,427443.0,3338623.0,79397.0,34240500.0,47372852.0,46839.0,2102767.0,48188.0,327957.0,95027.0,2430724.0
2021-02-09,1931.0,336175.0,27634.0,334.0,52738.0,3332.0,1.0,2.0,2.0,4.0,0.0,2.0,0.0,2.0,4.0,3.0,60.19,18870.0,724.0,235717.0,379381.0,3357493.0,80121.0,34476217.0,47752233.0,66008.0,2168775.0,77269.0,405226.0,143277.0,2574001.0
2021-02-10,1525.0,337700.0,27417.0,282.0,53020.0,3309.0,1.0,2.0,2.0,4.0,0.0,2.0,0.0,2.0,4.0,3.0,60.19,25387.0,296.0,237113.0,345271.0,3382880.0,80417.0,34713330.0,48097504.0,71017.0,2239792.0,82253.0,487479.0,153270.0,2727271.0
2021-02-11,1618.0,339318.0,26963.0,269.0,53289.0,3327.0,1.0,2.0,2.0,4.0,0.0,2.0,0.0,2.0,4.0,3.0,60.19,21063.0,360.0,238753.0,363138.0,3403943.0,80777.0,34952083.0,48460642.0,87279.0,2327071.0,105323.0,592802.0,192602.0,2919873.0
2021-02-12,1405.0,340723.0,26424.0,264.0,53553.0,3298.0,1.0,2.0,2.0,4.0,0.0,2.0,0.0,2.0,4.0,3.0,60.19,20701.0,645.0,240290.0,402956.0,3424644.0,81422.0,35192373.0,48863598.0,79325.0,2406396.0,77101.0,669903.0,156426.0,3076299.0
2021-02-13,1085.0,341808.0,26196.0,191.0,53744.0,3294.0,1.0,2.0,2.0,4.0,0.0,2.0,0.0,2.0,4.0,3.0,60.19,21231.0,199.0,241354.0,216134.0,3445875.0,81621.0,35433727.0,49079732.0,22381.0,2428777.0,19911.0,689814.0,42292.0,3118591.0
2021-02-14,651.0,342459.0,26401.0,113.0,53857.0,3299.0,1.0,2.0,2.0,4.0,0.0,2.0,0.0,2.0,4.0,3.0,60.19,16546.0,167.0,241628.0,42733.0,3462421.0,81788.0,35675355.0,49122465.0,5076.0,2433853.0,7456.0,697270.0,12532.0,3131123.0
